Time,In Bit Rate,Out Bit Rate
27.Apr 12:30,1014372.51,1004524.64
27.Apr 12:35,1383618.99,1373312.45
27.Apr 12:40,1004522.85,994567.47
27.Apr 12:45,1018474.8,1009641.25
27.Apr 12:50,1872920.69,1862362.16
27.Apr 12:55,1061305.17,1051614.21
27.Apr 13:00,978966.77,969788.08
27.Apr 13:05,1399534.99,1389010.59
27.Apr 13:10,1599149.81,1588985.71
27.Apr 13:15,954517.52,944604.88
27.Apr 13:20,1329168.93,1318318.48
27.Apr 13:25,1114454.21,1103808.56
27.Apr 13:30,1180662.85,1168479.95
27.Apr 13:35,2478240.53,2465308.72
27.Apr 13:40,977296.53,967260.4
27.Apr 13:45,1094974.51,1084521.41
27.Apr 13:50,2187712.56,2176872.56
27.Apr 13:55,1143399.6,1132411.55
27.Apr 14:00,1152819.28,1141005.71
27.Apr 14:05,1941189.31,1929936.08
27.Apr 14:10,1055670.11,1044296.16
27.Apr 14:15,1105022.45,1094825.09
27.Apr 14:20,1564510.08,1548142.8
27.Apr 14:25,1071158.13,1060505.57
27.Apr 14:30,1265590.48,1253874.99
27.Apr 14:35,1471249.63,1460121.87
27.Apr 14:40,1066898.03,1055430.27
27.Apr 14:45,1050113.89,1036354.83
27.Apr 14:50,2036689.81,2023783.92
27.Apr 14:55,1030916.91,1020273.01
27.Apr 15:00,1232225.15,1219653.39
27.Apr 15:05,1780477.89,1766039.71
27.Apr 15:10,1135689.33,1121330.51
27.Apr 15:15,971443.23,959929.01
27.Apr 15:20,1706419.12,1695375.49
27.Apr 15:25,2567305.63,2552131.63
27.Apr 15:30,957110.99,947075.28
27.Apr 15:35,1761575.63,2150985.84
27.Apr 15:40,925209.6,917327.04
27.Apr 15:45,956213.15,945882.64
27.Apr 15:50,1072646.13,1061410.69
27.Apr 15:55,946303.55,937526.29
27.Apr 16:00,1112347.25,1101278.72
27.Apr 16:05,3399023.65,3384835.57
27.Apr 16:10,1045738.83,1030814.53
27.Apr 16:15,979689.41,968615.04
27.Apr 16:20,1525837.15,1516387.97
27.Apr 16:25,936318.03,926815.12
27.Apr 16:30,994815.76,984351.6
27.Apr 16:35,1323629.92,1312059.09
27.Apr 16:40,974430.21,962853.6
27.Apr 16:45,1023701.87,1014102.99
27.Apr 16:50,1580629.2,1569910.69
27.Apr 16:55,1070103.52,1060302
27.Apr 17:00,2549646.32,2534798.69
27.Apr 17:05,1272790.19,1253937.12
27.Apr 17:10,1032640.51,1022623.17
27.Apr 17:15,900056.88,891132.85
27.Apr 17:20,3278718.96,3270128.69
27.Apr 17:25,871146.69,861454.32
27.Apr 17:30,948280.32,938833.84
27.Apr 17:35,1272172.96,1262230.83
27.Apr 17:40,978493.33,968293.09
27.Apr 17:45,973466.27,965413.81
27.Apr 17:50,1104769.52,1094885.68
27.Apr 17:55,2750064.45,2740442.51
27.Apr 18:00,1394436.21,1385521.15
27.Apr 18:05,1301602.43,1291514.03
