Time,In Bit Rate,Out Bit Rate
29.Apr 07:35,906868.16,898380.77
29.Apr 07:40,817205.52,809669.92
29.Apr 07:45,814051.92,806560.16
29.Apr 07:50,1462069.31,1452853.55
29.Apr 07:55,857562.37,849097.33
29.Apr 08:00,869875.12,861237.73
29.Apr 08:05,1235399.6,1227161.57
29.Apr 08:10,826578.67,818814.8
29.Apr 08:15,782438.99,775178.93
29.Apr 08:20,942986.85,935143.28
29.Apr 08:25,833262.27,825724.64
29.Apr 08:30,792055.73,784784.32
29.Apr 08:35,3292993.89,3285465.52
29.Apr 08:40,836548.35,828862.99
29.Apr 08:45,843452.32,834957.52
29.Apr 08:50,1248218.19,1240381.04
29.Apr 08:55,847449.15,839790.85
29.Apr 09:00,877421.17,870372.61
29.Apr 09:05,1258878.37,1250994.03
29.Apr 09:10,861909.31,851072.59
29.Apr 09:15,872091.47,864156.69
29.Apr 09:20,1007629.92,999097.36
29.Apr 09:25,940656.48,932498.19
29.Apr 09:30,859515.39,850808.69
29.Apr 09:35,846305.52,838459.76
29.Apr 09:40,824903.52,817372.83
29.Apr 09:45,806800.45,799038.59
29.Apr 09:50,1349963.17,1342910.43
29.Apr 09:55,843474.61,835695.68
29.Apr 10:00,821602.43,814005.09
29.Apr 10:05,1372082.61,1363967.49
29.Apr 10:10,918159.49,910051.31
29.Apr 10:15,2823274.05,2815596.45
29.Apr 10:20,1044528.56,1036969.36
29.Apr 10:25,903906.11,895060.91
29.Apr 10:30,832359.39,824196.93
29.Apr 10:35,1227134.99,1219342.51
29.Apr 10:40,832876.96,824787.97
29.Apr 10:45,804668,796727.97
29.Apr 10:50,1273059.79,1265163.04
29.Apr 10:55,832744.13,824700.29
29.Apr 11:00,786319.87,779607.65
29.Apr 11:05,1014459.87,1005947.41
29.Apr 11:10,884943.12,876309.95
29.Apr 11:15,873258.61,865427.2
29.Apr 11:20,1069476.13,1060212.83
29.Apr 11:25,978642.72,971049.04
29.Apr 11:30,2765436.56,2758629.63
29.Apr 11:35,1075000.61,1066092.03
29.Apr 11:40,733333.76,726508.83
29.Apr 11:45,837526.11,829259.95
29.Apr 11:50,1212963.89,1205036.64
29.Apr 11:55,851985.87,843878
29.Apr 12:00,938456.03,930532.67
29.Apr 12:05,1115073.17,1107214.91
29.Apr 12:10,785129.41,778170.13
29.Apr 12:15,731899.17,725406.24
29.Apr 12:20,1093661.71,1086286.21
29.Apr 12:25,775755.52,768621.07
29.Apr 12:30,939571.92,932014.69
29.Apr 12:35,2698969.87,2691118.59
29.Apr 12:40,859900.32,852642.51
29.Apr 12:45,777701.39,769789.87
29.Apr 12:50,1095662.75,1087286.99
29.Apr 12:55,809976.75,801672.27
29.Apr 13:00,851430.77,843573.79
29.Apr 13:05,1410747.73,1402802.72
29.Apr 13:10,806888.13,799189.15
29.Apr 13:15,812466.4,805050.77
29.Apr 13:20,1155293.95,1147212.32
29.Apr 13:25,785171.63,776699.81
29.Apr 13:30,791536.11,783664.75
29.Apr 13:35,1122061.15,1114551.31
29.Apr 13:40,756711.44,749868.85
29.Apr 13:45,2647919.89,2639874.91
29.Apr 13:50,926817.73,919502.96
29.Apr 13:55,750261.95,742067.52
29.Apr 14:00,802619.17,794987.63
29.Apr 14:05,907713.36,899302.67
29.Apr 14:10,819556.21,811267.07
29.Apr 14:15,794659.01,786870.85
29.Apr 14:20,1072383.12,1064626.05
29.Apr 14:25,814580.53,806567.39
29.Apr 14:30,806744.45,799368.11
29.Apr 14:35,858172.4,850467.09
29.Apr 14:40,786738.08,779482.29
29.Apr 14:45,840533.33,832690.35
29.Apr 14:50,888041.52,879995.2
29.Apr 14:55,903627.71,896342.27
29.Apr 15:00,846586.67,838035.79
29.Apr 15:05,998527.39,987318.96
29.Apr 15:10,1021643.28,1010281.57
29.Apr 15:15,808115.15,799281.89
29.Apr 15:20,1244969.76,1236509.09
29.Apr 15:25,874070.53,865812.56
29.Apr 15:30,851219.84,842780.91
29.Apr 15:35,1226707.17,1216553.52
29.Apr 15:40,912111.15,902909.31
29.Apr 15:45,875460.05,866605.65
29.Apr 15:50,918841.2,909933.73
29.Apr 15:55,994381.87,985438.03
29.Apr 16:00,958329.39,1376009.47
29.Apr 16:05,978250.64,969346.61
29.Apr 16:10,903821.92,891250.88
29.Apr 16:15,900236.05,889873.92
29.Apr 16:20,1017416.08,1008481.09
29.Apr 16:25,1199733.33,1190036.77
29.Apr 16:30,1047256.37,1037312.53
29.Apr 16:35,1000994.32,990624.75
29.Apr 16:40,996642.77,986968.56
29.Apr 16:45,928649.97,918750.19
29.Apr 16:50,958087.12,949127.68
29.Apr 16:55,916734.32,907352.64
29.Apr 17:00,879213.84,867365.12
29.Apr 17:05,997879.33,980346.35
29.Apr 17:10,944489.12,935102.4
29.Apr 17:15,889231.39,880669.44
29.Apr 17:20,966630.24,958220.61
29.Apr 17:25,880214.51,871260.53
29.Apr 17:30,905817.17,897337.01
29.Apr 17:35,1261993.04,1253503.07
29.Apr 17:40,4480855.28,4471818.37
29.Apr 17:45,828899.97,819909.12
29.Apr 17:50,980235.01,970218.51
29.Apr 17:55,914778.4,906022.4
29.Apr 18:00,954283.28,944196.27
29.Apr 18:05,1028191.97,1018262.53
29.Apr 18:10,964913.71,956164.13
29.Apr 18:15,912862.96,903525.79
29.Apr 18:20,1081569.89,1071802.59
29.Apr 18:25,828358.99,820407.52
29.Apr 18:30,794837.07,787867.41
29.Apr 18:35,2075839.39,2068606.43
29.Apr 18:40,814739.23,807753.87
29.Apr 18:45,2908656.4,2900531.39
29.Apr 18:50,3111869.63,3104049.55
29.Apr 18:55,872292.61,863688.61
29.Apr 19:00,809430.91,802369.33
29.Apr 19:05,973544.96,964049.28
29.Apr 19:10,972213.23,963436.29
29.Apr 19:15,858767.73,850270.77
29.Apr 19:20,1139041.2,1130602.85
29.Apr 19:25,2754365.47,2745648.03
29.Apr 19:30,830439.41,822739.49
29.Apr 19:35,1323553.28,1315863.09
29.Apr 19:40,880919.23,873481.52
29.Apr 19:45,815291.55,808407.07
29.Apr 19:50,861454.03,852239.39
29.Apr 19:55,919123.71,911462.29
29.Apr 20:00,832815.01,825186.67
29.Apr 20:05,1148569.73,1139650.72
29.Apr 20:10,846954.48,839387.73
29.Apr 20:15,880880.99,872739.68
29.Apr 20:20,1032213.2,1023964.45
29.Apr 20:25,828547.84,821094.77
29.Apr 20:30,887414.64,879362.99
29.Apr 20:35,942141.44,934133.04
29.Apr 20:40,880995.28,873767.07
29.Apr 20:45,972935.36,964165.39
29.Apr 20:50,1137163.33,1129865.01
29.Apr 20:55,2501233.36,2494181.97
29.Apr 21:00,816304.21,809568.51
29.Apr 21:05,1189664.19,1181885.84
29.Apr 21:10,870802,862797.47
29.Apr 21:15,870195.49,861292.93
29.Apr 21:20,1471256.85,1462210.91
29.Apr 21:25,2082835.47,2075654.03
29.Apr 21:30,792897.87,785333.41
29.Apr 21:35,1217030.96,1209887.39
29.Apr 21:40,708339.55,701768.85
29.Apr 21:45,797743.71,789408.16
29.Apr 21:50,1024554.99,1017993.95
29.Apr 21:55,760135.89,752666.51
29.Apr 22:00,823511.15,814507.55
29.Apr 22:05,1009346.96,1000793.97
29.Apr 22:10,890312.96,881401.47
29.Apr 22:15,819912.29,812163.01
29.Apr 22:20,814027.65,805605.81
29.Apr 22:25,830789.39,823847.97
29.Apr 22:30,784474.88,777145.36
29.Apr 22:35,861722.67,853900.96
29.Apr 22:40,815549.87,808435.79
29.Apr 22:45,776347.01,767561.25
29.Apr 22:50,864843.28,857711.15
29.Apr 22:55,747958.16,740032.99
29.Apr 23:00,2580999.07,2574228.8
29.Apr 23:05,1126173.07,1115135.41
29.Apr 23:10,818700.43,810323.44
29.Apr 23:15,816761.12,809025.79
29.Apr 23:20,840456.03,832915.31
29.Apr 23:25,798778.11,791344.43
29.Apr 23:30,823583.6,816270.72
29.Apr 23:35,959564.43,951859.44
29.Apr 23:40,776618.13,768630.83
29.Apr 23:45,798183.55,791263.92
29.Apr 23:50,936156.69,928471.79
29.Apr 23:55,825204.35,816551.12
30.Apr 00:00,771046.4,763221.33
30.Apr 00:05,1111509.81,1101294.72
30.Apr 00:10,768778.8,761658.8
30.Apr 00:15,2600902.21,2593670.75
30.Apr 00:20,891294.03,883629.79
30.Apr 00:25,757233.81,750387.55
30.Apr 00:30,723108.43,716603.63
30.Apr 00:35,832931.04,826395.49
30.Apr 00:40,745703.44,739127.12
30.Apr 00:45,689625.15,682980.93
30.Apr 00:50,742355.44,736667.17
30.Apr 00:55,2720578.91,2714832.69
30.Apr 01:00,742478.32,736743.25
30.Apr 01:05,857876.29,851274.61
30.Apr 01:10,709427.2,702088.69
30.Apr 01:15,860572,853580.27
30.Apr 01:20,778016.67,770845.49
30.Apr 01:25,640110.21,633606.32
30.Apr 01:30,667877.79,661133.97
30.Apr 01:35,820903.15,814796.4
30.Apr 01:40,709046.61,703247.23
30.Apr 01:45,623146.59,617650.03
30.Apr 01:50,761248.53,754702.93
30.Apr 01:55,672193.49,665299.44
30.Apr 02:00,678856.61,671626.37
30.Apr 02:05,967758.43,960371.25
30.Apr 02:10,777913.44,769032.93
30.Apr 02:15,881347.71,873718.51
30.Apr 02:20,922099.41,913837.04
30.Apr 02:25,966251.79,958457.92
30.Apr 02:30,1755130.88,1748154.21
30.Apr 02:35,784851.41,778347.23
30.Apr 02:40,750694.77,744234.03
30.Apr 02:45,688487.95,682070.64
30.Apr 02:50,884163.79,877163.31
30.Apr 02:55,714396.67,707962.75
30.Apr 03:00,856612.53,849742.08
30.Apr 03:05,807023.12,799243.39
30.Apr 03:10,725267.79,717162.11
30.Apr 03:15,730651.6,723471.17
30.Apr 03:20,928184.83,918232.93
30.Apr 03:25,838188.61,828433.47
30.Apr 03:30,713891.23,707686.24
30.Apr 03:35,893856.05,886791.49
30.Apr 03:40,668364.48,662144.05
30.Apr 03:45,672643.12,667320.56
30.Apr 03:50,797368.83,790905.52
30.Apr 03:55,728635.79,721704.77
30.Apr 04:00,780858,1175464.21
30.Apr 04:05,6185393.81,6176929.97
30.Apr 04:10,725119.71,718282.35
30.Apr 04:15,781549.89,774163.84
30.Apr 04:20,789929.07,782362.75
30.Apr 04:25,794428.59,786479.97
30.Apr 04:30,802770.35,795537.31
30.Apr 04:35,737082.69,728927.97
30.Apr 04:40,869718.77,860736.69
30.Apr 04:45,872000.99,864105.84
30.Apr 04:50,889200,881204.83
30.Apr 04:55,795580.27,787894.59
30.Apr 05:00,761944.51,754655.39
30.Apr 05:05,2239928.85,2232285.97
30.Apr 05:10,1210155.41,1201279.31
30.Apr 05:15,754589.63,747673.63
30.Apr 05:20,1167267.55,1160321.12
30.Apr 05:25,750684.27,743535.39
30.Apr 05:30,709606.03,703347.12
30.Apr 05:35,875643.55,867926.24
30.Apr 05:40,5527888.51,5520520.4
30.Apr 05:45,728527.04,721190.8
30.Apr 05:50,913092.88,905720.75
30.Apr 05:55,783797.76,776843.73
30.Apr 06:00,733161.73,726296.48
30.Apr 06:05,1205980.85,1199259.68
30.Apr 06:10,808137.01,800132.88
30.Apr 06:15,840274.05,832447.49
30.Apr 06:20,1703229.44,1695015.12
30.Apr 06:25,734169.68,726983.49
30.Apr 06:30,705992.56,699345.2
30.Apr 06:35,1688737.65,1681698.69
30.Apr 06:40,767335.09,759589.17
30.Apr 06:45,778808.16,771435.28
30.Apr 06:50,1561532.59,1554765.79
30.Apr 06:55,783318.11,776108.69
30.Apr 07:00,808204.4,800184.51
30.Apr 07:05,1022597.89,1014934.32
30.Apr 07:10,698153.41,691537.55
30.Apr 07:15,777225.28,769668.13
30.Apr 07:20,1236954.85,1229347.55
30.Apr 07:25,831553.2,824259.63
30.Apr 07:30,822337.73,815328.24
30.Apr 07:35,1010967.04,1004278.59
30.Apr 07:40,750738.27,743067.57
30.Apr 07:45,712530.16,706154.72
30.Apr 07:50,1092982.96,1085282.43
30.Apr 07:55,810874.45,803022.56
30.Apr 08:00,794819.01,787366
30.Apr 08:05,1150608.29,1141538.13
30.Apr 08:10,854448.75,846077.47
30.Apr 08:15,834562.93,826705.17
30.Apr 08:20,1264898.24,1256914.59
30.Apr 08:25,993439.39,986524.59
30.Apr 08:30,2436569.49,2429550.19
30.Apr 08:35,1079179.44,1071291.65
30.Apr 08:40,889566.03,881119.63
30.Apr 08:45,903448.61,894955.89
30.Apr 08:50,1102658.67,1093205.6
30.Apr 08:55,804330.16,796875.97
30.Apr 09:00,746665.57,739880.24
30.Apr 09:05,1147320.8,1139982.03
30.Apr 09:10,2708357.63,2699782.03
30.Apr 09:15,803369.44,795460.8
30.Apr 09:20,857534.51,849564.51
30.Apr 09:25,944651.15,936271.15
30.Apr 09:30,779714.88,771868.72
30.Apr 09:35,1291039.79,1281863.6
30.Apr 09:40,800045.01,790756.27
30.Apr 09:45,822836.72,815653.23
30.Apr 09:50,1322962.83,1314308
30.Apr 09:55,880165.6,872285.84
30.Apr 10:00,899560.61,891421.12
30.Apr 10:05,1173972.72,1163735.28
30.Apr 10:10,996812.43,985886.88
30.Apr 10:15,977893.01,968132.35
30.Apr 10:20,1449859.97,1438729.73
30.Apr 10:25,908886.64,899708.99
30.Apr 10:30,923053.2,914530.35
30.Apr 10:35,1332831.79,1324814.43
30.Apr 10:40,923662.96,915455.44
30.Apr 10:45,908860.75,901041.15
30.Apr 10:50,933536.16,926509.84
30.Apr 10:55,1035288.43,1026095.6
30.Apr 11:00,912051.01,903406.59
30.Apr 11:05,1349128.19,1339853.12
30.Apr 11:10,813169.92,804746.53
30.Apr 11:15,967130.32,957932.69
30.Apr 11:20,1118511.84,1109640.24
30.Apr 11:25,827078,819142.48
30.Apr 11:30,903520.08,894967.47
30.Apr 11:35,903006.48,895097.87
30.Apr 11:40,898379.68,890113.97
30.Apr 11:45,815055.76,807764.85
30.Apr 11:50,1035299.95,1027309.39
30.Apr 11:55,843008.4,835710.03
30.Apr 12:00,899621.79,891593.76
30.Apr 12:05,888174.64,880319.12
30.Apr 12:10,832431.23,825056.51
30.Apr 12:15,849119.76,841462.61
30.Apr 12:20,885010.51,876757.07
30.Apr 12:25,838132.96,830375.63
30.Apr 12:30,868094.05,860160.45
30.Apr 12:35,2840226.85,2832903.6
30.Apr 12:40,846500.08,838962.32
30.Apr 12:45,887830.72,878065.31
30.Apr 12:50,1009777.52,1002167.68
30.Apr 12:55,881167.15,872011.84
30.Apr 13:00,826163.63,818408.8
30.Apr 13:05,1339329.17,1331242.08
30.Apr 13:10,897973.71,888666.91
30.Apr 13:15,839528.24,831110.37
30.Apr 13:20,897341.55,889851.57
30.Apr 13:25,769129.92,762160.61
30.Apr 13:30,772807.68,764792.64
30.Apr 13:35,961291.87,953106.72
30.Apr 13:40,825850.93,818878.13
30.Apr 13:45,811117.79,803176.37
30.Apr 13:50,1417437.92,1408255.36
30.Apr 13:55,905849.31,896612.48
30.Apr 14:00,1022007.79,1012965.65
30.Apr 14:05,996709.97,987088.35
30.Apr 14:10,915812.32,907005.33
30.Apr 14:15,2838480.37,2828917.39
30.Apr 14:20,1335730.96,1326141.97
30.Apr 14:25,855803.41,847424.4
30.Apr 14:30,813098.43,804993.36
30.Apr 14:35,1208421.55,1199911.95
30.Apr 14:40,866907.6,859033.95
30.Apr 14:45,869115.44,860600.77
30.Apr 14:50,989742.75,980350.93
30.Apr 14:55,873241.65,865536.67
30.Apr 15:00,2895151.65,2886462.45
30.Apr 15:05,980693.57,969175.2
30.Apr 15:10,886012.43,873798.43
30.Apr 15:15,848629.09,839381.52
30.Apr 15:20,1371187.52,1360757.04
30.Apr 15:25,915568.69,906668.8
30.Apr 15:30,865845.55,857221.25
30.Apr 15:35,1245538.93,1236067.89
30.Apr 15:40,962328.11,951152.88
30.Apr 15:45,1066928.32,1056672.24
30.Apr 15:50,1128191.36,1118752.59
30.Apr 15:55,1078624.27,1069135.92
30.Apr 16:00,938016.13,928495.31
30.Apr 16:05,978159.23,966138.24
30.Apr 16:10,954425.47,941506.35
30.Apr 16:15,938590.32,1327426.32
30.Apr 16:20,1128217.12,1122969.33
30.Apr 16:25,1066255.28,1057705.97
30.Apr 16:30,924681.2,1612608.16
30.Apr 16:35,942389.73,932507.09
30.Apr 16:40,968373.76,958500.88
30.Apr 16:45,972200.83,962385.92
30.Apr 16:50,1209699.39,1199328.8
30.Apr 16:55,1125966.32,1116833.39
30.Apr 17:00,879810.13,868093.73
30.Apr 17:05,1017753.81,999327.33
30.Apr 17:10,843244.05,833593.65
30.Apr 17:15,851565.49,842319.95
30.Apr 17:20,1027688.24,1017976.88
30.Apr 17:25,869281.87,859730.91
30.Apr 17:30,810202.77,801526.93
30.Apr 17:35,1043784.45,1034250
30.Apr 17:40,836740.93,829218.59
30.Apr 17:45,834289.47,825831.97
30.Apr 17:50,2784195.71,2774640.27
30.Apr 17:55,876575.84,868493.71
30.Apr 18:00,783359.36,775079.6
30.Apr 18:05,1027150.45,1019308.37
30.Apr 18:10,929540.67,921735.2
30.Apr 18:15,814787.04,807216.24
30.Apr 18:20,1347695.09,1338428.69
30.Apr 18:25,888712.53,879981.25
30.Apr 18:30,784856.69,777568.96
30.Apr 18:35,1043028.43,1321404
30.Apr 18:40,1038200.19,1146903.97
30.Apr 18:45,817440.91,813719.95
30.Apr 18:50,1351537.04,1342969.79
30.Apr 18:55,838523.95,830029.57
30.Apr 19:00,811690.96,803527.07
30.Apr 19:05,912602.77,903478.32
30.Apr 19:10,834177.95,825726.48
30.Apr 19:15,782348.91,774698.43
30.Apr 19:20,3569283.6,3561853.33
30.Apr 19:25,1358495.39,1349098.32
30.Apr 19:30,2177827.79,2169779.07
30.Apr 19:35,886460.24,878326.77
30.Apr 19:40,751191.95,742664.19
30.Apr 19:45,763878.72,756778.05
30.Apr 19:50,1171445.71,1161997.76
30.Apr 19:55,953843.84,945437.09
30.Apr 20:00,848237.07,839164.8
30.Apr 20:05,942150.37,934115.28
30.Apr 20:10,775140.75,766448.75
30.Apr 20:15,765896.05,757988.4
30.Apr 20:20,813294.91,805259.65
30.Apr 20:25,766200.13,759170.19
30.Apr 20:30,749118.72,742124.4
30.Apr 20:35,844839.36,836584.19
30.Apr 20:40,846664.67,838404.24
30.Apr 20:45,801682.35,792511.49
30.Apr 20:50,1158818.99,1151290.59
30.Apr 20:55,756513.68,749982.69
30.Apr 21:00,781290.21,773860.53
30.Apr 21:05,1006874.69,998559.89
30.Apr 21:10,842966.69,834323.33
30.Apr 21:15,849868.83,840744.96
30.Apr 21:20,795731.47,786519.17
30.Apr 21:25,737980.93,731549.79
30.Apr 21:30,751832,743258.03
30.Apr 21:35,867349.76,859646.53
30.Apr 21:40,923352.69,915229.41
30.Apr 21:45,798840.51,789885.01
30.Apr 21:50,916896.43,908440.32
30.Apr 21:55,956459.79,948350.29
30.Apr 22:00,738452,731016.96
30.Apr 22:05,924291.12,915495.39
30.Apr 22:10,788570.99,781355.52
30.Apr 22:15,787771.15,780478.56
30.Apr 22:20,1133744.29,1126011.73
30.Apr 22:25,894224.13,885806.8
30.Apr 22:30,815352.43,808132.16
30.Apr 22:35,894819.04,887705.36
30.Apr 22:40,824692.56,817713.52
30.Apr 22:45,856346.16,847986.64
30.Apr 22:50,903239.15,895175.57
30.Apr 22:55,916031.89,909134.37
30.Apr 23:00,860827.25,851460.27
30.Apr 23:05,1038626.61,1028301.63
30.Apr 23:10,850913.25,842293.47
30.Apr 23:15,814883.17,808077.15
30.Apr 23:20,963009.23,952957.95
30.Apr 23:25,1025102.08,1015867.73
30.Apr 23:30,752102.24,745475.31
30.Apr 23:35,886367.36,878560.27
30.Apr 23:40,858376.93,850517.23
30.Apr 23:45,800415.01,792564.69
30.Apr 23:50,976710.24,968024.56
30.Apr 23:55,813683.52,805053.89
1.May 00:00,761034.61,753347.65
1.May 00:05,887279.01,878017.01
1.May 00:10,833219.47,825958.4
1.May 00:15,789777.92,781925.15
1.May 00:20,882447.09,874777.47
1.May 00:25,783293.25,775592.05
1.May 00:30,745891.55,739150.96
1.May 00:35,903062.05,894316.72
1.May 00:40,838731.07,830450.35
1.May 00:45,857745.81,848467.81
1.May 00:50,870175.31,863083.23
1.May 00:55,769063.04,761318.72
1.May 01:00,776410.19,768978.21
1.May 01:05,4335979.97,4329226.91
1.May 01:10,1089899.07,1080319.95
1.May 01:15,829959.2,821911.57
1.May 01:20,852918.72,844669.17
1.May 01:25,801016.08,793742.61
1.May 01:30,761964.08,754903.57
1.May 01:35,805310.48,798500.05
1.May 01:40,800698.51,794029.17
1.May 01:45,754725.39,748326.59
1.May 01:50,823684.19,815655.55
1.May 01:55,836862.32,828442.08
1.May 02:00,782899.39,775187.2
1.May 02:05,1039279.95,1030796.27
1.May 02:10,970206.51,960876.45
1.May 02:15,1080656.64,1070280.59
1.May 02:20,1027827.09,1018657.09
1.May 02:25,2917644.61,2909190.56
1.May 02:30,766822.83,758670.27
1.May 02:35,842990.64,834742.05
1.May 02:40,789668.37,782156.64
1.May 02:45,761617.73,753620.37
1.May 02:50,964466.43,955768.27
1.May 02:55,841742.19,833206.53
1.May 03:00,807358.91,799061.17
1.May 03:05,878101.55,869366.03
1.May 03:10,749530.72,742115.92
1.May 03:15,709865.73,702581.92
1.May 03:20,765105.33,756293.15
1.May 03:25,4436532.59,4425886.45
1.May 03:30,1062592.05,1054238.16
1.May 03:35,929823.12,921932.05
1.May 03:40,898557.41,890826.69
1.May 03:45,819183.12,811200.48
1.May 03:50,870998.88,862802.61
1.May 03:55,792073.55,784162.83
1.May 04:00,800309.39,793102
1.May 04:05,1119321.71,1110714.69
1.May 04:10,843450.03,834307.07
1.May 04:15,2708617.07,3065664.03
1.May 04:20,1050567.44,1044716.53
1.May 04:25,928727.81,920072.64
1.May 04:30,809338.88,801765.57
1.May 04:35,955709.23,949346.08
1.May 04:40,861626.21,853127.23
1.May 04:45,799001.15,790849.07
1.May 04:50,4506785.04,4498162.67
1.May 04:55,863675.07,856117.47
1.May 05:00,808732.59,799001.52
1.May 05:05,992345.23,983652.75
1.May 05:10,1260917.55,1251242.45
1.May 05:15,827245.33,819825.23
1.May 05:20,1136108.16,1125375.01
1.May 05:25,1037895.25,1027821.97
1.May 05:30,781101.68,773315.68
1.May 05:35,1337744.35,1328031.71
1.May 05:40,1042969.97,1034626.27
1.May 05:45,853295.92,844360.43
1.May 05:50,896244.96,887766.67
1.May 05:55,1096014.53,1087224.72
1.May 06:00,856645.95,847734.05
1.May 06:05,1195373.2,1187081.65
1.May 06:10,895929.44,887253.39
1.May 06:15,833790.77,825156.32
1.May 06:20,850691.33,842859.81
1.May 06:25,1405319.71,1396719.95
1.May 06:30,786274.19,778264.35
1.May 06:35,1092942.43,1084603.6
1.May 06:40,782241.55,775119.2
1.May 06:45,764030.08,757251.33
1.May 06:50,1202404.24,1194920.72
1.May 06:55,1594206.27,1586365.44
1.May 07:00,856905.04,849299.87
1.May 07:05,1218361.84,1210520.77
1.May 07:10,894184.13,885935.15
1.May 07:15,798239.33,791042.77
1.May 07:20,1878011.15,1870756
1.May 07:25,1464389.2,1456919.25
1.May 07:30,893277.39,886149.07
1.May 07:35,2085658.69,2078329.33
1.May 07:40,804699.04,797634.03
1.May 07:45,774772.91,766484.72
1.May 07:50,1085390.72,1076736.21
1.May 07:55,918874,909674.48
1.May 08:00,992600.16,984834.61
1.May 08:05,1296268.72,1288708.64
1.May 08:10,986774.56,978481.97
1.May 08:15,1033490.51,1025154.48
1.May 08:20,1315923.07,1307075.47
1.May 08:25,1153589.04,1143151.52
1.May 08:30,1051048.21,1042395.65
1.May 08:35,1382534.59,1368569.89
1.May 08:40,1297605.33,1288548.45
1.May 08:45,1155497.89,1145124.53
1.May 08:50,1987413.84,1976975.79
1.May 08:55,1048926.53,1039778.08
1.May 09:00,2195230.51,2184553.73
1.May 09:05,1796513.15,1786383.41
1.May 09:10,3222600.75,3212638.45
1.May 09:15,1181253.09,1170147.49
1.May 09:20,1267084.56,1256532.75
1.May 09:25,1421036.43,1410426.29
1.May 09:30,999215.71,990225.44
1.May 09:35,950533.81,941239.09
1.May 09:40,1606354.37,1597702.99
1.May 09:45,980704.91,971494
1.May 09:50,1623258.77,1613305.23
1.May 09:55,1278333.92,1267252.51
1.May 10:00,1459617.01,1448513.97
1.May 10:05,1591819.07,1580515.01
1.May 10:10,1720211.95,1707906.29
1.May 10:15,1400973.12,1388508.67
1.May 10:20,1504271.81,1492333.41
1.May 10:25,1200641.68,1189254.67
1.May 10:30,1055267.31,1044481.04
1.May 10:35,1465722.77,1454482.67
1.May 10:40,1242031.73,1231304.72
1.May 10:45,1186476.21,1174901.47
1.May 10:50,1551927.12,1540681.17
1.May 10:55,2088559.6,2076628.08
1.May 11:00,1099292.56,1087566.59
1.May 11:05,1131968.4,1120456.56
1.May 11:10,1140236.8,1129851.6
1.May 11:15,1080678.11,1071661.07
1.May 11:20,1096078.19,1086445.12
1.May 11:25,1082843.68,1071798.88
1.May 11:30,2705082.77,2694719.36
1.May 11:35,7824131.41,7812908.69
1.May 11:40,2076243.65,2064665.95
1.May 11:45,1154672.61,1144264.32
1.May 11:50,1512531.92,1501587.23
1.May 11:55,2816015.33,2804033.07
1.May 12:00,7164171.87,7150494.61
1.May 12:05,1156935.76,1145996.11
1.May 12:10,1316172.69,1306112.19
1.May 12:15,1076592.99,1061624.77
1.May 12:20,1115911.41,1101525.84
1.May 12:25,1379445.89,1369395.65
1.May 12:30,1258746.03,1247905.97
1.May 12:35,1551705.79,1540165.31
1.May 12:40,1531765.28,1522040.83
1.May 12:45,1410067.76,1399978.03
1.May 12:50,1416550.51,1406814.05
1.May 12:55,1111526.21,1101214.85
1.May 13:00,1266193.04,1254060.88
1.May 13:05,1532665.07,1521729.65
1.May 13:10,1095341.79,1085161.63
1.May 13:15,1044094.83,1034020.48
1.May 13:20,1050088.77,1040573.73
1.May 13:25,2189185.95,2178542.16
1.May 13:30,1788982.27,1777543.76
1.May 13:35,1510033.07,1499267.07
1.May 13:40,1440726.83,1427186.19
1.May 13:45,3084675.36,3069860.64
1.May 13:50,1381046.83,1368026.29
1.May 13:55,1446349.49,1433753.49
1.May 14:00,1227427.17,1214115.04
1.May 14:05,1701525.73,1686871.89
1.May 14:10,1214548.93,1202201.01
1.May 14:15,1283488.29,1271348.37
1.May 14:20,1483032.45,1471176.37
1.May 14:25,1034041.65,1024889.04
1.May 14:30,1189052.35,1177935.81
1.May 14:35,1155737.25,1143740.67
1.May 14:40,1130517.92,1119378.35
1.May 14:45,1219914.75,1207320.27
1.May 14:50,1169305.76,1157337.52
1.May 14:55,1128349.33,1117370.83
1.May 15:00,1275855.15,1262213.47
1.May 15:05,2682208.37,2662771.07
1.May 15:10,2567384.03,2550511.23
1.May 15:15,1787555.23,1773994.61
1.May 15:20,1688587.25,1673086.75
1.May 15:25,1270787.52,1256388.24
1.May 15:30,1207402.32,1194786.05
1.May 15:35,1251106.83,1218180.53
1.May 15:40,5314864.99,5290711.39
1.May 15:45,2119815.09,2105258.13
1.May 15:50,1431567.87,1419534.27
1.May 15:55,1072696.03,1062691.71
1.May 16:00,1031758.61,1021530.05
1.May 16:05,1219803.28,1196953.79
1.May 16:10,1093609.63,1079129.47
1.May 16:15,1042876.27,1031931.84
1.May 16:20,964231.01,1351510.96
1.May 16:25,1386414.4,1372943.76
1.May 16:30,958373.76,942342.21
1.May 16:35,1064847.52,1052367.68
1.May 16:40,1152774.91,1141899.6
1.May 16:45,1114694.16,1103009.79
1.May 16:50,1284647.92,1274087.09
1.May 16:55,1097205.76,1087431.97
1.May 17:00,1050748.51,1034994.8
1.May 17:05,6122176.64,6104482.61
1.May 17:10,1254441.97,1244128.29
1.May 17:15,2890942.51,2880693.6
1.May 17:20,1033062.69,1022202.72
1.May 17:25,1158191.31,1148096.69
